League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
La Liga,2014-15,Barcelona,Claudio Bravo,GK,173,12,5.5,6.0
La Liga,2014-15,Barcelona,Dani Alves,DEF,148,16,6.0,6.1
La Liga,2014-15,Atlético,Diego Godín,DEF,145,4,5.0,5.3
La Liga,2014-15,Atlético,Juanfran,DEF,145,9,5.5,5.6
La Liga,2014-15,Villarreal,Mario Gaspar,DEF,141,19,5.5,5.6
La Liga,2014-15,Valencia,Nicolás Otamendi,DEF,139,7,5.0,5.3
La Liga,2014-15,Rayo Vallecano,Alberto Bueno,MID,196,26,8.0,8.4
La Liga,2014-15,Rayo Vallecano,Gaël Kakuta,MID,141,16,6.0,6.0
La Liga,2014-15,Real Madrid,Cristiano Ronaldo,FWD,372,71,11.5,12.9
La Liga,2014-15,Barcelona,Lionel Messi,FWD,362,65,11.5,12.9
La Liga,2014-15,Espanyol,Sergio García,FWD,176,35,8.5,8.5
Total,-,-,-,-,2138,280,78.0,82.6
