League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
La Liga,2019-20,Atlético,Jan Oblak,GK,161,23,6.0,6.1
Premier League,2019-20,Liverpool,Trent Alexander-Arnold,DEF,208,28,6.5,7.2
La Liga,2019-20,Real Madrid,Sergio Ramos,DEF,205,18,6.5,7.2
Premier League,2019-20,Liverpool,Andrew Robertson,DEF,185,24,6.5,6.9
Bundesliga,2019-20,Dortmund,Achraf Hakimi,DEF,185,27,5.5,6.3
Bundesliga,2019-20,Bayern,Benjamin Pavard,DEF,164,19,4.5,5.3
Premier League,2019-20,Man. City,Kevin De Bruyne,MID,242,32,8.0,9.3
Premier League,2019-20,Man. United,Marcus Rashford,MID,202,28,7.0,7.7
Serie A,2019-20,Lazio,Ciro Immobile,FWD,301,65,10.5,11.7
Premier League,2019-20,Southampton,Danny Ings,FWD,207,47,6.5,7.2
Serie A,2019-20,Sassuolo,Francesco Caputo,FWD,205,35,7.5,8.1
Total,-,-,-,-,2265,346,75.0,83.0
